label,message
spam,Lowest prices guaranteed. Shop now.
spam,Act fast! Double your income in 30 days.
spam,Get cheap loans with no credit check. Apply now!
ham,Happy Birthday! Have a wonderful day.
ham,"Hey, are we still on for dinner tonight?"
ham,Can you pick me up at 6 pm?
ham,Happy Birthday! Have a wonderful day.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Let's catch up this weekend.
ham,Good luck with your exam tomorrow!
ham,Let's catch up this weekend.
ham,Can you pick me up at 6 pm?
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Let's catch up this weekend.
spam,Congratulations! You've won a $1000 gift card. Claim now.
ham,I'll call you when I reach home.
spam,Get cheap loans with no credit check. Apply now!
spam,Your subscription is expiring. Renew immediately.
ham,Can you send me the notes from class?
ham,I'll call you when I reach home.
spam,Lowest prices guaranteed. Shop now.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are we still on for dinner tonight?"
ham,Good luck with your exam tomorrow!
spam,Act fast! Double your income in 30 days.
ham,Don't forget to bring your ID card.
ham,Can you pick me up at 6 pm?
spam,Your subscription is expiring. Renew immediately.
ham,See you at the gym later!
spam,Act fast! Double your income in 30 days.
ham,Good luck with your exam tomorrow!
ham,Don't forget to bring your ID card.
spam,Congratulations! You've won a $1000 gift card. Claim now.
ham,What time does the movie start?
spam,Win a free vacation to Paris. Click here!
ham,Can you pick me up at 6 pm?
spam,URGENT! Your account has been suspended. Verify immediately.
spam,URGENT! Your account has been suspended. Verify immediately.
ham,Good luck with your exam tomorrow!
ham,See you at the gym later!
ham,Can you send me the notes from class?
ham,Can you pick me up at 6 pm?
ham,Let's catch up this weekend.
spam,Lowest prices guaranteed. Shop now.
ham,"Hey, are we still on for dinner tonight?"
ham,What time does the movie start?
spam,Exclusive deal just for you. Limited time offer.
ham,"Hey, are we still on for dinner tonight?"
spam,Lowest prices guaranteed. Shop now.
ham,"Hey, are we still on for dinner tonight?"
ham,Let's catch up this weekend.
ham,I'll call you when I reach home.
ham,See you at the gym later!
ham,See you at the gym later!
ham,I'll call you when I reach home.
spam,Congratulations! You've won a $1000 gift card. Claim now.
ham,See you at the gym later!
spam,Exclusive deal just for you. Limited time offer.
ham,Good luck with your exam tomorrow!
spam,Lowest prices guaranteed. Shop now.
spam,Get cheap loans with no credit check. Apply now!
spam,You have been selected for a cash prize. Call now!
spam,Your subscription is expiring. Renew immediately.
ham,Happy Birthday! Have a wonderful day.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,Your subscription is expiring. Renew immediately.
ham,I'll call you when I reach home.
spam,Exclusive deal just for you. Limited time offer.
spam,Exclusive deal just for you. Limited time offer.
spam,Get cheap loans with no credit check. Apply now!
spam,Exclusive deal just for you. Limited time offer.
ham,What time does the movie start?
spam,Congratulations! You've won a $1000 gift card. Claim now.
ham,Can you pick me up at 6 pm?
spam,Cheap medicines available online. Order today.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,You have been selected for a cash prize. Call now!
ham,What time does the movie start?
spam,You have been selected for a cash prize. Call now!
spam,Get cheap loans with no credit check. Apply now!
spam,Congratulations! You've won a $1000 gift card. Claim now.
spam,Act fast! Double your income in 30 days.
ham,"Hey, are we still on for dinner tonight?"
ham,Don't forget to bring your ID card.
ham,I'll call you when I reach home.
spam,Win a free vacation to Paris. Click here!
ham,Can you send me the notes from class?
ham,What time does the movie start?
ham,I'll call you when I reach home.
spam,URGENT! Your account has been suspended. Verify immediately.
spam,You have been selected for a cash prize. Call now!
spam,Get cheap loans with no credit check. Apply now!
spam,Cheap medicines available online. Order today.
spam,You have been selected for a cash prize. Call now!
ham,Good luck with your exam tomorrow!
spam,Get cheap loans with no credit check. Apply now!
spam,URGENT! Your account has been suspended. Verify immediately.
ham,"Hey, are we still on for dinner tonight?"
spam,Act fast! Double your income in 30 days.
spam,Exclusive deal just for you. Limited time offer.
